posicion	jugador	club	puntos	categoria
2107	Monge, Paloma                      	Nikkei TDM                    	762	6
2108	Orfila, Fernando                   	Intendente Agüero             	761	6
2109	Ladizesky, Pablo                   	La Legión TDM                 	761	6
2110	Echevere, Lautaro                  	UGAB                          	761	6
2111	Cuomo, Julián                      	Fenix                         	761	6
2112	Fernandez A., Ignacio              	Escuela Cangallo              	761	6
2113	Medina, Pablo Oscar                	Adrogue Sith Spin             	760	6
2114	Rodriguez, Rodolfo                 	Escuela Cangallo              	760	6
2115	Mansilla, Diulio                   	Peñarol                       	760	6
2116	Tomasello, Lucio                   	Def. Santos Lugares           	760	6
2117	Abatangelo, Nicolas                	Peretz                        	760	6
2118	Scian, Gustavo                     	Ntra. Señora Lourdes          	759	6
2119	Evers, Alberto                     	Nichia Gakuin                 	759	6
2120	Gavernet, Ricardo                  	Circulo Campano               	759	6
2121	Lopez, Alejandro Sebastián         	Sol Argentino                 	758	6
2122	Kalejman, Eduardo                  	Garin Tenis de Mesa           	758	6
2123	Sella, Darío                       	Escuela Cangallo              	758	6
2124	Lambert, Gustavo Rubén             	River Plate                   	758	6
2125	Sierpe, Antonella                  	Ferrocarril Oeste             	757	6
2126	Djemdjemian, Bruno                 	Peñarol                       	757	6
2127	Levy, Uriel                        	Macabi                        	757	6
2128	Garrido, Mónica                    	Rioja                         	757	6
2129	Coronado Moreno, Daniel            	Libre                         	757	6
2130	Goldenberg, Federico               	Top Minc                      	757	6
2131	Aladro, Ignacio                    	Atlanta                       	757	6
2132	Muzzo, Walter                      	CEDIMA                        	756	6
2133	Namba, Serena                      	Nichia Gakuin                 	756	6
2134	Ambach, Leandro                    	Macabi                        	756	6
2135	Flores, Javier                     	Urquiza                       	755	6
2136	Serra Schoppe, Ariel I.            	Inst. Compañía María          	755	6
2137	Rejnharc, Joan                     	San Lorenzo                   	754	6
2138	Martinez, Marcelo                  	CEDIMA                        	754	6
2139	Demollein, Martín                  	Adrogue Sith Spin             	754	6
2140	Gerchikovich, Milton               	La Legión TDM                 	754	6
2141	Rojas, Marcelo                     	Libre                         	754	6
2142	Limonta Martinez, Jesus S.         	Atlanta                       	754	6
2143	Tonelli, Matías                    	U.V.V.A.                      	753	6
2144	Mendez, Matias C.                  	River Plate                   	753	6
2145	Rosselli, Jonathan                 	Adrogue Sith Spin             	752	6
2146	Gadaleta, Sergio                   	Escuela Cangallo              	752	6
2147	Vaccher, Matías                    	Escuela Cangallo              	752	6
2148	Arnaude, Pablo                     	Ntra. Señora Lourdes          	751	6
2149	Husson, Nicolás                    	Intendente Agüero             	751	6
2150	Colo, Juan                         	Libre                         	751	6
2151	Quiroga, Juan                      	U.V.V.A.                      	751	6
2152	Bentancor, Matias                  	Ferrocarril Oeste             	751	6
2153	Ramos, Sebastian                   	Ateneo de Versailles          	751	6
2154	Saffar, Gaston L.                  	Circulo Campano               	750	6
2155	Saffar, Claudio                    	Circulo Campano               	750	6
2156	Rando, Julian                      	La Legión TDM                 	750	6
2157	Casela, Agustin                    	Ntra. Señora Lourdes          	750	6
2158	Flores Canto, Erik                 	La Legión TDM                 	750	6
2159	Xu, Yingjun                        	La Legión TDM                 	750	6
2160	Hrvatin, Santino                   	Intendente Agüero             	750	6
2161	Duchak, Marcelo                    	Libertad                      	750	6
2162	Ciaffone, Leandro                  	La Legión TDM                 	750	6
2163	Garay, Alvaro                      	UGAB                          	750	6
2164	Villarruel, Ary Javier             	Urquiza                       	750	6
2165	De Alzaá, Esteban                  	Nikkei TDM                    	750	6
2166	Gonzalez, Gustavo Mario            	Nikkei TDM                    	750	6
2167	Tu, Matias I.                      	Nichia Gakuin                 	750	6
2168	Myler, Nicolas                     	Def. Santos Lugares           	750	6
2169	Patrisso, Diego                    	San Lorenzo                   	750	6
2170	Lipartiti, Dario M.                	Atlanta                       	750	6
2171	Cosentino, Gustavo                 	Inst. Compañía María          	750	6
2172	Korzin, Gerardo                    	Peretz                        	749	6
2173	Almada, Fernando                   	Adrogue Sith Spin             	749	6
2174	Fernandez Hemida, Andrés           	Escuela Cangallo              	749	6
2175	Medina, Gastón                     	Escuela Cangallo              	748	6
2176	Reides, Gabriela                   	Fenix                         	748	6
2177	Gonzalez Nogales, Ariel            	Inst. Compañía María          	748	6
2178	Minassian, Andrés                  	Intendente Agüero             	747	6
2179	Tomizaki, Gustavo                  	Ateneo de Versailles          	747	6
2180	Bravo, Lucas                       	Ingeniero Acosta              	746	6
2181	Beirich, Enzo Gabriel              	Social Club TDM               	746	6
2182	Balcaza, Néstor                    	San Lorenzo                   	746	6
2183	Chadin, Jonathan                   	Macabi                        	745	6
2184	Juarez, Mariano                    	Def. Santos Lugares           	745	6
2185	Couselo, Néstor                    	Intendente Agüero             	743	6
2186	Garcia, Mario Daniel               	TMR                           	743	6
2187	Navarro, Roberto                   	Peñarol                       	743	6
2188	Lascaray, Francisco                	UGAB                          	743	6
2189	Rojas, Sofia                       	Libre                         	743	6
2190	Carabajal, Adrian                  	CEDIMA                        	742	6
2191	Blasco, Claudio                    	La Legión TDM                 	741	6
2192	Lacapra, Rodrigo                   	Intendente Agüero             	741	6
2193	Starkstein, Simon Juan             	Sociedad Hebraica             	740	6
2194	Yamaguchi, Malena	Gimnasty                      	740	7
2195	Zuriaga, Alejo	Peñarol                       	740	7
2196	Fontana, Nicolas Damian            	Tigre TDM                     	740	7
2197	Tallarico, Inca                    	Alvear Club                   	739	7
2198	Ricordi Sierra, Diego              	Vito Dumas TdM                	739	7
2199	Bormioli, Guillermo                	Inst. Compañía María          	739	7
2200	Pierini, Diego                     	Ateneo de Versailles          	738	7
